key,day,netFlow,price,realTarget,lowerTargetCushion,upperTargetCushion,lowerTargetWall,upperTargetWall,liqUSD,liqOHM,poolK,reservesUSD,reserveChange,reservesIN,reservesOUT,tradedOHM,treasury,supply,marketcap,floatingSupply,floatingMarketcap,liqRatio_liqTreasury,liqRatio_liqReserves,reserveRatio,liqFloatingMCRatio,floatingMCTreasuryPremium,cumPurchasedOHM,cumBurntOHM,bidCapacity,askCapacity,bidCapacityCushion,askCapacityCushion,bidCapacityTargetCushion,askCapacityTargetCushion,bidCapacityTarget,askCapacityTarget,askCount,bidCount,marketDemand,marketSupply,netTotal,gohm7dVolatility
449_1196,12.0,-5063269.2581869978,22.516876285852796,28.867790110067705,25.981011099060936,31.754569121074478,22.51687628585281,35.2187039342826,21832369.744942624,969600.28859152889,21168672005333.332,241969901.0612672,98.517957944354322,-810512.81427615159,3640042.6587787438,-151462.90431345493,263802270.80620983,26230451.910589438,590627840.59275341,25260851.621997908,568795470.84781086,0.082760355618700363,0.09022762603607723,11.083080026954862,0.038383515453104193,2.1561431943307654,304625.48682097928,12727.450347902623,19126277.416943837,8610535.058609318,9701272.943512015,3874740.7763741938,9947202.7206618618,3874740.7763741938,22104894.934804134,8610535.058609318,3.0,6.0,0.021737676787881403,-0.013708255737797341,0.008029421050084062,0.14415653985655913
449_1196,13.0,-1265108.0304098176,22.340079390744151,28.641127424030959,25.777014681627865,31.505240166434056,22.340079390744148,34.942175457317767,21746489.675250344,973429.38200390909,21168672005333.332,240790673.10054967,99.512655104810349,-798500.67350218177,1179227.9607175374,-52577.262229713539,262537162.77580002,26209711.090406269,585527026.56814349,25236281.708402358,563780536.89289308,0.082832043453677784,0.090312840589840529,11.072622602377674,0.038572615144005472,2.1474313614577571,357202.74905069283,138390.07817343131,18745550.129728481,8472449.4631377012,9701272.943512015,3812602.2584119663,9799780.9929813221,3812602.2584119663,21777291.095514048,8472449.4631377012,4.0,5.0,0.020338848613876193,-0.012237955021088678,0.0081008935927875149,0.15704888516346283
449_1196,14.0,-3197056.918528378,22.13904308520571,28.383388570776535,25.545049713698884,31.221727427854191,22.1390430852057,34.627734056347371,21648421.226100128,977839.06661108416,21168672005333.332,237691684.63117149,98.712994806038807,-794609.22123181389,3098988.4693781622,-139345.75580054685,259340105.85727161,26297507.5921443,582201653.616007,25319668.525533214,560553232.38990676,0.083475022710195024,0.091077739045403269,10.979631361967481,0.038619742024860952,2.1614598734621033,496548.50485123968,155432.42079702544,16441170.881582133,8436029.0741039459,9701272.943512015,3796213.0833467762,9752022.2605722621,3796213.0833467762,21671160.579049468,8436029.0741039459,5.0,4.0,0.016130348449449852,-0.016869926245043621,-0.00073957779559376963,0.15279506153562961
449_1196,15.0,-3558242.962329899,21.787052348110262,27.93211839501317,25.138906555511852,30.725330234514487,21.787052348110272,34.077184441916067,21475636.547496643,985706.38213752536,21168672005333.332,234306226.34744507,98.575693428661722,-784382.559282866,3385458.2837264137,-154143.3742439441,255781862.89494172,26298610.953577928,572969213.52818823,25312904.571440402,551493576.98069155,0.083960748054749346,0.091656277693837815,10.910327422856181,0.038940864307198508,2.1561090013923647,650691.8790951838,259519.08973197307,13840095.157138586,8333016.2685912605,9626513.2275624461,3749857.3208660679,9626513.2275624461,3749857.3208660679,21392251.616805434,8333016.2685912605,5.0,3.0,0.023850287047721346,-0.006170097856783162,0.017680189190938184,0.076957080622525362
449_1196,16.0,5643424.9698879551,27.747886001030938,27.532687037565385,24.779418333808845,30.285955741321924,21.475495889301,33.589878185829768,24236045.419936072,873437.54472090642,21168672005333.332,237189242.4448936,101.23044792380951,-773210.54694656876,-2883016.097448526,116403.33847305614,261425287.86482966,26284419.090200063,729337064.51819265,25410981.545479156,705101019.09825659,0.09270734907813262,0.10218020501316309,9.7866313722034288,0.034372444179603084,2.6971415996406214,534288.54062212771,378905.3969241507,21087560.371270057,8224167.20923571,9489402.1670715269,3700875.24415607,9489402.1670715269,3700875.24415607,21087560.371270057,8224167.20923571,6.0,2.0,0.022848737036182322,-0.020428426249342355,0.0024203107868399666,0.093072363876569558
449_1196,17.0,-1291261.5677784062,26.595652880969695,27.17311077407474,24.455799696667267,29.890421851482216,21.195026403778296,33.151195144371179,23727508.352225818,892157.39348154317,21168672005333.332,236406517.94482544,99.67,-782724.50006814883,782724.50006815186,-28806.5339935895,260134026.29705125,26498405.825916413,704742403.245138,25606248.432434872,681014894.89291227,0.091212628697527609,0.10036740339690442,9.9633941514406317,0.034841394116580819,2.6179385472442975,563095.07461571717,378905.3969241507,21347031.820040423,8334449.283661752,9606164.3190181926,3750502.177647789,9606164.3190181926,3750502.177647789,21347031.820040423,8334449.283661752,7.0,2.0,0.011557801801386276,-0.023798063045519669,-0.012240261244133393,0.099750991026580707
449_1196,18.0,-482284.722748057,27.267566425623063,26.836482122451958,24.152833910206763,29.520130334697157,20.932456055512528,32.740508189391392,24025365.138695687,881096.78596470889,21168672005333.332,235626376.43560752,99.67,-780141.509217924,780141.5092179263,-28967.503957656631,259651741.57430321,26604399.44922008,725437229.19541812,25723302.663255371,701411864.05672252,0.0925291892633829,0.10196381874616398,9.8074004318087731,0.034252863930389378,2.7013562851686213,592062.57857337384,378905.3969241507,21276586.61503429,8315327.5532821845,9574463.9767654315,3741897.3989769835,9574463.9767654315,3741897.3989769835,21276586.61503429,8315327.5532821845,7.0,2.0,0.0043466399361801094,-0.018899084812282866,-0.014552444876102757,0.10485520860237868
449_1196,19.0,-190162.78531815484,28.617214021224342,26.890094115309548,24.201084703778594,29.579103526840505,20.97427340994145,32.80591482067765,24612769.395615038,860068.67675381142,21168672005333.332,234848809.39337003,99.67,-777567.04223750485,777567.04223750532,-27827.506380813556,259461578.78898507,26710817.04701696,764389168.116252,25850748.370263148,739776398.72063684,0.094860940531130089,0.10480261517693637,9.5417466282851624,0.033270552342816229,2.8511982474379463,619890.08495418739,378905.3969241507,21206373.879204676,8295911.0055410964,9542868.2456421051,3733159.9524934939,9542868.2456421051,3733159.9524934939,21206373.879204676,8295911.0055410964,7.0,3.0,0.013236830948030501,-0.02056410931143763,-0.0073272783634071286,0.10534698799059505
449_1196,20.0,-1522711.3805733612,26.904901971964886,26.87373626895733,24.1863626420616,29.561109895853065,20.961514289786717,32.78595824812794,23865059.086039796,887015.27739842248,21168672005333.332,234073808.3223719,99.67,-775001.070998121,775001.07099812012,-27916.842041581691,257938867.40841168,26817660.315205026,721526521.89804423,25930645.037806604,697661462.81200445,0.092522151957241366,0.10195527324087572,9.80822245100984,0.034207219917019555,2.7047550833327918,647806.926995769,378905.3969241507,21136392.845403302,8267247.3909405544,9511376.7804314867,3720261.32592325,9511376.7804314867,3720261.32592325,21136392.845403302,8267247.3909405544,7.0,4.0,0.014418617248665293,-0.020735532118282544,-0.0063169148696172513,0.083021728876786938
449_1196,21.0,3251672.7258729329,32.811246289766487,26.894464171939738,24.205017754745764,29.583910589133716,20.977682054112996,32.81124628976648,26354705.667001422,803221.719597442,21168672005333.332,234835834.46728322,100.32554951379346,-772443.56746382732,-762026.14491130691,25521.610723163314,261190540.13428465,26924930.956465848,883440540.94755888,26121709.236868408,857085835.28055751,0.1009022212422081,0.11222608221946255,8.91058460050722,0.030749202217738789,3.2814581831329268,622285.31627260568,378905.3969241507,21066642.749013469,8220480.8128342628,9479989.2370560616,3708160.3586573633,9479989.2370560616,3708160.3586573633,21066642.749013469,8240356.3525719177,7.0,5.0,0.016063594744330847,-0.021725062854017974,-0.0056614681096871268,0.074435967385737684
449_1196,22.0,1575909.6982354624,32.916334030572834,26.98060166440397,24.282541497963575,29.678661830844369,21.0448692982351,32.916334030572841,26502463.8111655,805146.27742414747,21338360080128.086,236263986.02135462,100.60814890423818,-774958.25374203466,-1428151.5540713845,43456.6903911856,262766449.83252013,27079397.258398004,891354485.50400686,26274250.980973855,864852021.69284141,0.1008593898804715,0.11217310034196278,8.9147932699682233,0.030643928841479942,3.2913335102105825,578828.6258814201,378905.3969241507,21135225.10205549,8153550.2182617579,9510851.2959249727,3708160.3586573633,9510851.2959249727,3720008.6812938307,21135225.10205549,8266685.9584307335,6.0,6.0,0.021090677591757052,-0.022645384471740561,-0.0015547068799835091,0.091699179794571067
449_1196,23.0,4443762.3973841732,32.91193623891683,26.976996917144966,24.279297225430469,29.674696608859463,21.042057595373073,32.911936238916859,26606696.092513405,808420.86893241561,21509408374530.395,240603516.13739088,101.83672940980691,-779671.15387047024,-4339530.1160362689,131843.96607326838,267210212.22990429,27254645.4420041,897003153.00152409,26446224.573071685,870396456.90901077,0.0995721528398074,0.11058315572296246,9.0429685557648742,0.030568479319183176,3.2573472759346962,446984.65980815171,378905.3969241507,21263758.741921913,7998007.8268100657,9568691.4338648617,3708160.3586573633,9568691.4338648617,3741700.8288717512,21263758.741921913,8314890.7308261124,5.0,7.0,0.01511370325678244,-0.019826692365660904,-0.0047129891088784643,0.0890508106436384
449_1196,24.0,-63472.935251027346,33.23547188594403,27.242190070445943,24.517971063401351,29.966409077490539,21.248908254947835,33.235471885944051,26844101.363594033,807694.30491964694,21681827792060.629,240302637.93105924,99.874948541417055,-793991.60325338994,300878.20633165538,-9097.2031969480377,267146739.29465327,27519206.415223807,914613811.13666141,26711512.110304162,887769709.77306747,0.10048448068080648,0.11170955755922819,8.9517855217518161,0.030237685593548745,3.323153829678188,456081.86300509976,378905.3969241507,21654316.452365179,7983170.8659083527,9744442.4035643321,3708160.3586573633,9744442.4035643321,3810465.3057325664,21654316.452365179,8467700.6794057023,4.0,7.0,0.014721560907275185,-0.013986965689814831,0.00073459521746035462,0.080286852750627954
449_1196,25.0,599353.27410371415,33.53644821774207,27.488891981755806,24.740002783580227,30.237781179931389,21.441335745769528,33.536448217742084,27073237.358662486,807278.01533674938,21855629323641.789,240672855.21009451,100.15406292757447,-792998.70517249545,-370217.2790352609,11089.011023207742,267746092.568757,27644120.201786414,927085605.67224753,26836842.186449666,900012368.313585,0.10111534065323512,0.11248978342417969,8.88969619782422,0.030080961453220326,3.3614397867728454,444992.851981892,378905.3969241507,21627237.41379533,7948485.7383523472,9732256.8362079,3708160.3586573633,9732256.8362079,3802821.669279926,21627237.41379533,8450714.8206220567,3.0,7.0,0.018582977569223148,-0.0073458448271178966,0.011237132742105253,0.07222977909050339
449_1196,26.0,-995445.05262955325,30.486337375051292,27.714852159137518,24.943366943223765,30.486337375051271,21.617584684127266,33.81211963414777,25916001.516184364,850085.76784277486,22030824048300.1,240834645.99994308,100.06722436134616,-794220.42219331185,-161790.78984856931,5054.1627750349271,266750647.51612744,27789381.810149565,847196469.30833328,26939296.042306792,821280467.792149,0.097154409023946273,0.10760910835142252,9.2928936529635369,0.031555604367232107,3.0788321432003096,439938.68920685712,378905.3969241507,21660556.968908504,7917127.0611757226,9747250.6360088289,3676801.6814807393,9747250.6360088289,3806048.3490173062,21660556.968908504,8457885.2200384568,2.0,7.0,0.0041771462273301535,-0.0060802485362240312,-0.0019031023088938778,0.030565744737412515
449_1196,27.0,-275635.7477910528,30.729244643030739,27.935676948209775,25.1421092533888,30.729244643030754,21.789828019603625,34.081525876815924,26123118.848484207,850106.117216546,22207423133871.277,240351892.91985217,99.799549986636464,-794754.33179981215,482753.08009089623,-15772.228709621653,266475011.76833639,27931898.014566787,858326127.43380737,27081791.89735024,832203008.58532321,0.098032151964757924,0.10868696947269407,9.2007349625406079,0.031390320125003347,3.1230058047949729,455710.91791647876,378905.3969241507,21675118.139994875,7906973.82586736,9753803.1629976947,3666648.4461723771,9753803.1629976947,3806235.6966174687,21675118.139994875,8458301.5480388179,1.0,7.0,0.013538022681318906,-0.018818234544148296,-0.0052802118628293895,0.037734925092583409
